Time,Step,Training loss,Validation loss,Full Validation loss
22:37:32,976,0.0160,-,-
22:37:32,975,0.8274,-,-
22:37:32,974,0.0002,-,-
22:37:32,973,1.0305,-,-
22:37:28,972,0.0001,-,-
22:37:28,971,1.3263,-,-
22:37:26,970,1.1300,-,-
22:37:23,969,1.0532,-,-
22:37:23,968,0.9813,-,-
22:37:23,967,1.5034,-,-
22:37:23,966,1.2247,-,-
22:37:23,965,0.0001,-,-
22:37:23,964,1.2587,-,-
22:37:19,963,1.1345,-,-
22:37:19,962,1.9533,-,-
22:37:19,961,1.3022,-,-
22:37:18,960,0.0028,-,-
22:37:17,959,1.5383,-,-
22:37:12,958,1.4024,-,-
22:37:12,957,0.0055,-,-
22:37:12,956,0.0005,-,-
22:37:12,955,1.2724,-,-
22:37:12,954,1.2872,-,-
22:37:12,953,1.2874,-,-
22:37:11,952,0.0001,-,-
22:37:06,951,0.0064,-,-
22:37:04,950,0.0893,-,-
22:37:03,949,0.0075,-,-
22:37:00,948,0.0010,-,-
22:37:00,947,0.0400,-,-
22:37:00,946,1.4370,-,-
22:37:00,945,0.1006,-,-
22:37:00,944,0.7830,-,-
22:36:56,943,0.0007,-,-
22:36:56,942,0.0003,-,-
22:36:56,941,1.0607,-,-
22:36:54,940,1.0829,-,-
22:36:51,939,0.0134,-,-
22:36:51,938,1.4971,-,-
22:36:51,937,1.4024,-,-
22:36:51,936,1.0155,-,-
22:36:51,935,1.1903,-,-
22:36:47,934,1.1161,-,-
22:36:47,933,1.5045,-,-
22:36:47,932,0.1426,-,-
22:36:47,931,1.4483,-,-
22:36:46,930,0.0080,-,-
22:36:45,929,0.8954,-,-
22:36:40,928,1.0775,-,-
22:36:40,927,0.6866,-,-
22:36:39,926,1.0688,-,-
22:36:35,925,1.2817,-,-
22:36:35,924,1.3371,-,-
22:36:35,923,1.4294,-,-
22:36:35,922,1.1537,-,-
22:36:35,921,0.7579,-,-
22:36:31,920,1.4712,-,-
22:36:31,919,0.5702,-,-
22:36:30,918,1.0585,-,-
22:36:26,917,0.0000,-,-
22:36:26,916,0.4355,-,-
22:36:26,915,0.0000,-,-
22:36:26,914,1.2227,-,-
22:36:26,913,0.0180,-,-
22:36:23,912,0.9817,-,-
22:36:23,911,0.0680,-,-
22:36:22,910,0.9090,-,-
22:36:21,909,0.0000,-,-
22:36:17,908,1.4071,-,-
22:36:17,907,1.1782,-,-
22:36:17,906,1.4731,-,-
22:36:17,905,1.4049,-,-
22:36:17,904,0.0003,-,-
22:36:14,903,0.0000,-,-
22:36:14,902,1.3554,-,-
22:36:14,901,0.0026,-,-
22:36:13,900,1.1025,0.8244,-
22:36:12,899,0.9577,-,-
22:36:06,898,0.0001,-,-
22:36:06,897,0.0001,-,-
22:36:06,896,1.9323,-,-
22:36:05,895,0.3076,-,-
22:36:02,894,1.1839,-,-
22:36:02,893,1.4864,-,-
22:36:02,892,0.0003,-,-
22:36:02,891,0.0002,-,-
22:36:01,890,1.3613,-,-
22:35:57,889,1.1182,-,-
22:35:57,888,0.0614,-,-
22:35:56,887,1.0315,-,-
22:35:53,886,0.0002,-,-
22:35:53,885,0.0077,-,-
22:35:53,884,0.0002,-,-
22:35:53,883,0.7532,-,-
22:35:53,882,0.0002,-,-
22:35:49,881,0.0055,-,-
22:35:48,880,1.2697,-,-
22:35:47,879,0.0109,-,-
22:35:44,878,0.9672,-,-
22:35:44,877,1.1705,-,-
22:35:44,876,1.1626,-,-
22:35:44,875,1.6158,-,-
22:35:44,874,0.8313,-,-
22:35:40,873,0.1851,-,-
22:35:40,872,0.0084,-,-
22:35:40,871,0.9636,-,-
22:35:39,870,1.0200,-,-
22:35:39,869,1.5727,-,-
22:35:38,868,0.4358,-,-
22:35:33,867,0.1311,-,-
22:35:33,866,0.1984,-,-
22:35:33,865,0.4433,-,-
22:35:32,864,1.2205,-,-
22:35:28,863,0.7649,-,-
22:35:28,862,1.1417,-,-
22:35:28,861,0.5310,-,-
22:35:27,860,1.2451,-,-
22:35:24,859,1.8486,-,-
22:35:24,858,0.6259,-,-
22:35:24,857,1.3324,-,-
22:35:24,856,1.4135,-,-
22:35:22,855,1.1397,-,-
22:35:19,854,1.3711,-,-
22:35:19,853,1.1159,-,-
22:35:19,852,0.8008,-,-
22:35:19,851,1.2665,-,-
22:35:18,850,1.1318,-,-
22:35:14,849,0.0001,-,-
22:35:14,848,1.7970,-,-
22:35:12,847,0.0001,-,-
22:35:09,846,1.4462,-,-
22:35:09,845,2.5529,-,-
22:35:09,844,0.0001,-,-
22:35:09,843,0.9259,-,-
22:35:09,842,0.9152,-,-
22:35:05,841,0.0002,-,-
22:35:04,840,0.0019,-,-
22:35:04,839,1.3625,-,-
22:35:04,838,0.0241,-,-
22:35:04,837,1.2456,-,-
22:35:03,836,1.3889,-,-
